Country,Continent,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Total Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop
Togo,Africa,174,0,11,0,89,74,0,21.0,1.0,10377,1253.0
Eswatini,Africa,172,0,2,0,27,143,0,148.0,2.0,714,615.0
Guadeloupe,North America,154,0,13,0,104,37,4,385.0,32.0,0,0.0
Gibraltar,Europe,146,0,0,0,143,3,0,4334.0,0.0,4099,121665.0
French Guiana,South America,144,0,1,0,122,21,0,482.0,3.0,0,0.0
CAR,Africa,143,0,0,0,10,133,0,30.0,0.0,3498,724.0
Brunei,Asia,141,0,1,0,134,6,2,322.0,2.0,15898,36340.0
Cambodia,Asia,122,0,0,0,120,2,1,7.0,0.0,14094,843.0
Uganda,Africa,121,0,0,0,55,66,0,3.0,0.0,58606,1281.0
Nepal,Asia,120,10,0,0,31,89,0,4.0,0.0,72239,2479.0
South Sudan,Africa,120,0,0,0,2,118,0,11.0,0.0,1247,111.0
Bermuda,North America,118,0,7,0,64,47,4,1895.0,112.0,4020,64549.0
Trinidad and Tobago,North America,116,0,8,0,107,1,0,83.0,6.0,2307,1648.0
Guyana,South America,104,0,10,0,35,59,6,132.0,13.0,914,1162.0
Aruba,North America,101,0,3,0,89,9,4,946.0,28.0,1874,17552.0
Monaco,Europe,96,0,4,0,82,10,1,2446.0,102.0,0,0.0
Bahamas,North America,92,0,11,0,37,44,1,234.0,28.0,1500,3814.0
Mozambique,Africa,91,0,0,0,34,57,0,3.0,0.0,3923,126.0
Barbados,North America,84,0,7,0,57,20,4,292.0,24.0,2990,10405.0
Liechtenstein,Europe,82,0,1,0,55,26,0,2151.0,26.0,900,23605.0
Cayman Islands,North America,81,0,1,0,41,39,3,1232.0,15.0,3423,52083.0
Sint Maarten,North America,76,0,15,0,46,15,7,1773.0,350.0,329,7673.0
Libya,Africa,64,0,3,0,24,37,0,9.0,0.4,3093,450.0
French Polynesia,Australia/Oceania,60,0,0,0,56,4,1,214.0,0.0,2950,10502.0
Malawi,Africa,56,0,3,0,14,39,1,3.0,0.2,1188,62.0
Yemen,Asia,51,0,8,0,1,42,0,2.0,0.3,120,4.0
Syria,Asia,47,0,3,0,29,15,0,3.0,0.2,0,0.0
Angola,Africa,45,2,2,0,13,30,0,1.0,0.06,3000,91.0
Macao,Asia,45,0,0,0,40,5,1,69.0,0.0,0,0.0
Mongolia,Asia,42,0,0,0,14,28,0,13.0,0.0,9600,2928.0
Saint Martin,North America,39,0,3,0,30,6,1,1009.0,78.0,0,0.0
Eritrea,Africa,39,0,0,0,37,2,0,11.0,0.0,0,0.0
Zimbabwe,Africa,36,0,4,0,9,23,0,2.0,0.3,20537,1382.0
Antigua and Barbuda,North America,25,0,3,0,19,3,1,255.0,31.0,183,1869.0
Timor-Leste,Asia,24,0,0,0,21,3,0,18.0,0.0,738,560.0
Botswana,Africa,23,0,1,0,12,10,0,10.0,0.4,9540,4057.0
Grenada,North America,21,0,0,0,13,8,4,187.0,0.0,1406,12495.0
Gambia,Africa,20,0,1,0,9,10,0,8.0,0.4,849,351.0
Laos,Asia,19,0,0,0,13,6,0,3.0,0.0,3187,438.0
Belize,North America,18,0,2,0,16,0,0,45.0,5.0,1043,2623.0
Fiji,Australia/Oceania,18,0,0,0,14,4,0,20.0,0.0,1300,1450.0
